cluster,observations,unique_stocks,median_return,mean_return,median_market_value,median_assets,median_sales,median_roa,median_asset_turnover,median_debt_long_term,median_volatility,share_of_rows
0,27137,2465,-0.009460628,0.016806378279301162,738963.8,379.113,13.676,-0.0640424083957161,0.0495431237228669,23.277,0.040107656,0.10714187009684896
1,93139,1921,0.008221269,0.012696429824589371,9348930.0,11280.638,1250.0,0.0110618133453618,0.1306317718477109,2790.946,0.01889509,0.36772991262668736
2,125030,3972,0.0035557150999999997,0.013329577474022757,605101.0,1151.103,100.793,0.0040411750252246,0.1230204686536302,149.647,0.022757816,0.4936414496152495
3,7975,1274,-0.0074086785,0.027284881383490302,399154.0,134.534,0.363,-0.1985219702811634,0.0045079398036311,7.721,0.04469866,0.03148676766121422
