component,explained_variance_ratio,cumulative_explained_variance
PC1,0.4889585744705361,0.4889585744705361
PC2,0.20784993045341496,0.6968085049239511
PC3,0.07971409218195148,0.7765225971059025
PC4,0.05697597417438763,0.8334985712802901
PC5,0.0500558664710825,0.8835544377513727
PC6,0.04006589210363632,0.923620329855009
PC7,0.021690550655609472,0.9453108805106184
PC8,0.017267735146782846,0.9625786156574012
