k,inertia,silhouette
2,2514697.1661723293,0.4972682921407508
3,1833274.177799013,0.29509595166982333
4,1606884.1007934068,0.289183100518385
5,1390974.5922702213,0.31071008358922964
6,1218526.5795037989,0.2589326416433002
7,1092228.8044092301,0.2580816373949459
8,1021542.5315000804,0.2474198143938283
