,vol_d,vol_d,vol_d,prc_end,prc_end,prc_end,mv_end,mv_end,mv_end,vol_avg,vol_avg,vol_avg,atq,atq,atq,ceqq,ceqq,ceqq,cheq,cheq,cheq,cogsq,cogsq,cogsq,dlcq,dlcq,dlcq,dlttq,dlttq,dlttq,ltq,ltq,ltq,niq,niq,niq,saleq,saleq,saleq,prccq,prccq,prccq,prclq,prclq,prclq,roa,roa,roa,asset_turnover,asset_turnover,asset_turnover,ret_m,ret_m,ret_m
,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27137,0.040107656,0.04516937314357519,27137,13.3,23.356806345579834,27137,738963.8,1824206.9910822052,27137,469524.06,1750041.0112228503,27137,379.113,1041.7291906990456,27137,214.4,414.68376006927815,27135,196.058,345.7891656163626,27074,15.84,96.08144515032873,26258,2.691,30.859652639195673,26934,23.277,327.1095649736393,27137,96.772,608.9361969267052,27137,-23.609,-75.05584353465748,27120,13.676,119.02278856932153,27071,13.73,23.357332163569872,27071,10.42,17.84279055886365,27137,-0.0640424083957161,-0.06839354051412065,27120,0.0495431237228669,0.09789785924312037,27137,-0.009460628,0.016806378279301162
1,93139,0.01889509,0.022144946073034067,93139,71.87,130.69439010511172,93139,9348930.0,36207924.3461237,93139,1154790.4,3032413.978250839,93063,11280.638,52542.826041821136,93047,3110.7,9732.276034563178,93060,780.0,6813.354142961531,92973,687.0,2574.9045757585536,83386,235.4015,3708.003210874727,92499,2790.946,8901.891742051266,93063,6818.2,42164.31096521711,93032,109.0,410.3618049810818,93041,1250.0,4014.468932416891,93102,70.97,128.05032333569633,93102,61.16,110.14394062270328,93023,0.0110618133453618,0.015466430862157102,93023,0.1306317718477109,0.17136553785560601,93139,0.008221269,0.012696429824589371
2,125030,0.022757816,0.026920637667697273,125030,17.24,29.351927974054227,125030,605101.0,1268154.658256448,125030,164766.055,578438.0744197068,111682,1151.103,1995.5524127164629,111501,336.565,481.19183586694294,111699,95.377,189.08443091701804,112562,42.681,113.70620226186458,99830,10.0,82.238689271762,110621,149.647,559.342375284982,111685,629.801,1472.8321053498678,112762,5.174,10.212665942427414,112725,100.793,187.51718784652917,115831,18.1,29.522784773247146,115831,15.1,24.69304933852543,111511,0.0040411750252246,0.012222679433829015,111486,0.1230204686536302,0.16208142908026815,125030,0.0035557150999999997,0.013329577474022757
3,7975,0.04469866,0.05222180309670595,7975,10.19,17.70677554858934,7975,399154.0,1293587.8150485142,7975,363708.0,1679624.94951357,7975,134.534,538.6776576802508,7975,40.923,171.65166307210032,7975,79.641,179.1992618181818,7963,3.048,58.301444430491024,7792,1.209,19.213417222792607,7944,7.721,188.85858496978852,7975,45.202,352.4397863322884,7975,-27.45,-136.10986420062696,7969,0.363,52.7533051825825,7945,9.9173,16.23221322857143,7945,6.98,11.649923828431112,7975,-0.1985219702811634,-0.41508969463030104,7969,0.0045079398036311,0.06955382893729754,7975,-0.0074086785,0.027284881383490302
