portfolio,rows,precision,mean_predicted_probability
Top 5%,1840,0.4885869565217391,0.6970614946623037
Top 10%,3680,0.47554347826086957,0.6618167650221884
Top 20%,7360,0.46956521739130436,0.6184027474549649
