model_date,long_mean_excess_return,short_mean_excess_return,long_short_excess_return,rows,portfolio_rows,cumulative_long_short_return
2024-11-30,-0.003174235339325651,-0.09813563249505082,0.09496139715572517,201,20,0.09496139715572527
2024-12-31,0.01353752521956037,-0.09999939909613344,0.1135369243156938,8498,849,0.21927994643320114
2025-01-31,-0.12501212622318125,-0.03891394550834968,-0.08609818071483158,387,38,0.11430216126322534
2025-02-28,0.05231019697416654,0.030141371955032848,0.022168825019133694,198,19,0.13900493089471233
2025-03-31,0.057328524756612306,0.04168318387562414,0.015645340880988165,8678,867,0.15682505130368662
2025-04-30,0.09769896912705044,-0.03036035793069002,0.12805932705774045,385,38,0.3049672888971726
2025-05-31,0.10093262011229831,0.031762571618999924,0.06917004849329839,196,19,0.39523193955235825
2025-06-30,0.04200934752543116,0.11742454200675345,-0.07541519448132229,8833,883,0.2900102514844647
2025-07-31,-0.04475836882615858,-0.02836583973769398,-0.0163925290884646,379,37,0.26886372091258814
2025-08-31,-0.00041700608152603417,0.011888120903864055,-0.012305126985390089,195,19,0.25325019169960417
2025-09-30,0.0138738559041479,-0.09465022630280212,0.10852408220695002,8853,885,0.3892580185294878
