feature,clean_feature,family,importance,importance_share
curcdq_CAD,curcdq_CAD,Context/categorical,0.04590392879500109,0.001603007934116897
costat_A,costat_A,Context/categorical,0.045198934404641615,0.0015783888735937549
firm_profile_cluster_cluster_0,firm_profile_cluster_cluster_0,Composite/unsupervised,0.0444642162383108,0.0015527318311382434
roa_industry_rank,roa_industry_rank,Relative position,0.04412542650188496,0.0015409009780992082
sic2_52,sic2_52,Context/categorical,0.043005715575196474,0.0015017996299898828
niq_growth_qoq,niq_growth_qoq,Accounting fundamentals,0.04247482595247883,0.0014832604700596465
curcdq_USD,curcdq_USD,Context/categorical,0.04174257229127712,0.0014576894904179143
firm_profile_cluster_cluster_1,firm_profile_cluster_cluster_1,Composite/unsupervised,0.041621334764231216,0.0014534557630906696
ltq_missing,ltq_missing,Accounting fundamentals,0.04139895065993556,0.0014456899031095032
volatility_6m_industry_relative,volatility_6m_industry_relative,Relative position,0.04130428141445911,0.0014423839649120708
atq_growth_yoy,atq_growth_yoy,Accounting fundamentals,0.040845877384663075,0.0014263760693771198
log_assets,log_assets,Accounting fundamentals,0.0407299634398442,0.001422328246497966
primary_exch_Q,primary_exch_Q,Context/categorical,0.04063353536380616,0.001418960888299697
share_type_NS,share_type_NS,Context/categorical,0.039629475085003564,0.0013838981684954727
oancfy_missing,oancfy_missing,Accounting fundamentals,0.03893157807343912,0.001359526955048137
feature_pca1,feature_pca1,Composite/unsupervised,0.038889685304568294,0.001358064020553315
asset_turnover_change_qoq,asset_turnover_change_qoq,Accounting fundamentals,0.03780570363108305,0.0013202103712329242
capxy_missing,capxy_missing,Accounting fundamentals,0.03739477018249793,0.001305860192593145
sic2_57,sic2_57,Context/categorical,0.0373463491904995,0.0013041692864683573
dlttq_missing,dlttq_missing,Accounting fundamentals,0.03734501981011139,0.0013041228632674343
feature_pca2,feature_pca2,Composite/unsupervised,0.036870229093215495,0.0012875427293615094
return_consistency_3m,return_consistency_3m,Market behavior,0.0364807468418972,0.0012739416465032392
primary_exch_B,primary_exch_B,Context/categorical,0.03444626931452619,0.0012028957969699111
capxq_approx,capxq_approx,Accounting fundamentals,0.03441940660435253,0.001201957726119101
capxq,capxq,Accounting fundamentals,0.03441940660435253,0.001201957726119101
calendar_month_name_December,calendar_month_name_December,Context/categorical,0.03420551409290568,0.0011944884004666347
log_dollar_volume,log_dollar_volume,Market behavior,0.03410906714101102,0.0011911203831058775
current_ratio,current_ratio,Accounting fundamentals,0.03300809615247925,0.0011526734510855152
cluster_pca2,cluster_pca2,Accounting fundamentals,0.03192835168574656,0.0011149677689701357
calendar_month_name_July,calendar_month_name_July,Context/categorical,0.03150872938385406,0.0011003141674827762
dlttq,dlttq,Accounting fundamentals,0.03056379396350182,0.0010673161427860822
sic2_15,sic2_15,Context/categorical,0.03050390498628095,0.0010652247639396238
dlttq_growth_yoy,dlttq_growth_yoy,Accounting fundamentals,0.030484017164204614,0.0010645302626754065
equity_multiplier,equity_multiplier,Accounting fundamentals,0.030459571765150115,0.0010636766065796066
cluster_pca1,cluster_pca1,Accounting fundamentals,0.02989414241588599,0.0010439312872388437
dlttq_growth_qoq,dlttq_growth_qoq,Accounting fundamentals,0.02799544710499607,0.0009776270791302221
sales_growth_acceleration,sales_growth_acceleration,Accounting fundamentals,0.026803290824410856,0.0009359958718098262
sic2_47,sic2_47,Context/categorical,0.026799900368850712,0.0009358774739448536
sales_to_market,sales_to_market,Accounting fundamentals,0.026679755969231226,0.000931681919645137
crsp_ret_3m,crsp_ret_3m,Market behavior,0.026539490602538754,0.0009267837224408417
capex_to_assets,capex_to_assets,Accounting fundamentals,0.025918600063471724,0.000905101646712915
book_to_market_industry_rank,book_to_market_industry_rank,Relative position,0.02522732087540246,0.0008809615338238068
actq_missing,actq_missing,Accounting fundamentals,0.024318488286122115,0.0008492242536030547
feature_pca5,feature_pca5,Composite/unsupervised,0.024243508187895627,0.000846605878759919
equity_to_assets,equity_to_assets,Accounting fundamentals,0.023131096474314283,0.0008077594259685044
liabilities_to_assets,liabilities_to_assets,Accounting fundamentals,0.02313109647430696,0.0008077594259682486
earnings_to_market,earnings_to_market,Accounting fundamentals,0.022761245523366263,0.0007948438863976318
oancfq,oancfq,Accounting fundamentals,0.022358883794560566,0.0007807930401935753
oancfq_approx,oancfq_approx,Accounting fundamentals,0.022358883794560566,0.0007807930401935753
gross_margin_change_qoq,gross_margin_change_qoq,Accounting fundamentals,0.022313064794551526,0.0007791929980517403
rstcheq_missing,rstcheq_missing,Accounting fundamentals,0.022280099131256826,0.0007780418063955571
rstcheq,rstcheq,Accounting fundamentals,0.021386274694698552,0.0007468286248417702
daily_vol_to_monthly_vol,daily_vol_to_monthly_vol,Market behavior,0.021140380659426385,0.0007382417761810902
sic2_10,sic2_10,Context/categorical,0.021123089496856495,0.0007376379526845563
vol_d,vol_d,Market behavior,0.020036009860579185,0.0006996761196189908
crsp_vol_1m,crsp_vol_1m,Market behavior,0.020036009860579185,0.0006996761196189908
niq,niq,Accounting fundamentals,0.019503116064571578,0.0006810669720914073
log_sales,log_sales,Accounting fundamentals,0.019416451768112665,0.0006780405741669789
oibdpq,oibdpq,Accounting fundamentals,0.019355334925432253,0.0006759063171154226
mv_end_growth_yoy,mv_end_growth_yoy,Market behavior,0.019104828908719687,0.0006671584137686834
dvintfq,dvintfq,Accounting fundamentals,0.019034595518448997,0.0006647057983869668
asset_turnover,asset_turnover,Accounting fundamentals,0.018723813457205633,0.0006538529994429129
log_book_equity,log_book_equity,Accounting fundamentals,0.017427284037973084,0.000608576984940379
prc_end,prc_end,Market behavior,0.017065361246456023,0.0005959383040786493
crsp_price_last,crsp_price_last,Market behavior,0.017065361246456023,0.0005959383040786493
book_equity,book_equity,Accounting fundamentals,0.016469769161404215,0.0005751396739200202
book_equity_proxy,book_equity_proxy,Accounting fundamentals,0.016469769161404215,0.0005751396739200202
gross_margin_industry_rank,gross_margin_industry_rank,Relative position,0.016462927732469292,0.0005749007648516405
cogsq_missing,cogsq_missing,Accounting fundamentals,0.016299765765874497,0.0005692029970600075
market_excess_momentum_12m,market_excess_momentum_12m,Market behavior,0.015643588393832477,0.0005462886722694488
asset_turnover_change_yoy,asset_turnover_change_yoy,Accounting fundamentals,0.015566489217462473,0.0005435962972444934
operating_margin,operating_margin,Accounting fundamentals,0.014486817889197357,0.0005058931691925001
ebitda_margin,ebitda_margin,Accounting fundamentals,0.014486817889197357,0.0005058931691925001
sic_division_Wholesale,sic_division_Wholesale,Context/categorical,0.014271768804063188,0.0004983834549100008
niq_growth_yoy,niq_growth_yoy,Accounting fundamentals,0.012998984590583313,0.0004539366451012255
quality_momentum_interaction,quality_momentum_interaction,Composite/unsupervised,0.012221932889417721,0.00042680127619303907
roa_change_yoy,roa_change_yoy,Accounting fundamentals,0.012090486610238304,0.00042221104973604577
sic2_83,sic2_83,Context/categorical,0.011893742302498596,0.0004153405553235189
sic2_21,sic2_21,Context/categorical,0.011524215305832692,0.00040243632853780763
ltq_growth_yoy,ltq_growth_yoy,Accounting fundamentals,0.011267285491751227,0.0003934641002058262
operating_return_on_assets,operating_return_on_assets,Accounting fundamentals,0.00945133827933045,0.00033004953274150554
roa_change_qoq,roa_change_qoq,Accounting fundamentals,0.00923128961391226,0.0003223652284604392
mv_end_growth_qoq,mv_end_growth_qoq,Market behavior,0.00896979249980394,0.00031323350575896195
lctq,lctq,Accounting fundamentals,0.008777257863487601,0.0003065100169921134
earnings_growth_acceleration,earnings_growth_acceleration,Accounting fundamentals,0.008419921498409411,0.00029403149841199553
cash_like_to_assets,cash_like_to_assets,Accounting fundamentals,0.008068013476743243,0.0002817425426380906
earnings_to_market_month_rank,earnings_to_market_month_rank,Relative position,0.00777568417964904,0.0002715341313992719
gross_margin_change_yoy,gross_margin_change_yoy,Accounting fundamentals,0.007033499311549586,0.0002456163447658435
profit_margin_change_qoq,profit_margin_change_qoq,Accounting fundamentals,0.006314213634186899,0.00022049821919410386
crsp_avg_dollar_volume_1m,crsp_avg_dollar_volume_1m,Market behavior,0.00607374479908485,0.00021210082357470296
sgna_to_sales,sgna_to_sales,Accounting fundamentals,0.005779198448314117,0.00020181499075722783
calendar_month_name_October,calendar_month_name_October,Context/categorical,0.005673336521337796,0.000198118193700449
sic2_64,sic2_64,Context/categorical,0.0056606221165815184,0.00019767419484813058
rstcheltq,rstcheltq,Accounting fundamentals,0.005291743052817787,0.00018479259448264578
permco,permco,Accounting fundamentals,0.00519453188204788,0.00018139788988720984
distress_flag,distress_flag,Composite/unsupervised,0.005092794170151429,0.00017784511426102706
profit_margin_industry_rank,profit_margin_industry_rank,Relative position,0.00474684841874777,0.00016576436651608703
vol_avg,vol_avg,Market behavior,0.004601470809763053,0.00016068764505099923
crsp_avg_volume_1m,crsp_avg_volume_1m,Market behavior,0.004601470809763053,0.00016068764505099923
oibdpq_missing,oibdpq_missing,Accounting fundamentals,0.0044009940054273305,0.00015368680838205682
xsgaq,xsgaq,Accounting fundamentals,0.0041675206484598016,0.00014553370137251884
consol_C,consol_C,Context/categorical,0.004161356503739662,0.00014531844369953061
datafmt_STD,datafmt_STD,Context/categorical,0.004161356503712643,0.00014531844369858712
indfmt_INDL,indfmt_INDL,Context/categorical,0.004161356503712643,0.00014531844369858712
npatq,npatq,Accounting fundamentals,0.004151051570476173,0.0001449585858351703
momentum_12m_industry_rank,momentum_12m_industry_rank,Relative position,0.0037648911979576293,0.00013147350607754893
sic2_7,sic2_7,Context/categorical,0.003411256044591768,0.00011912423725657919
sic2_37,sic2_37,Context/categorical,0.0033692802702305646,0.00011765840413274782
lctq_missing,lctq_missing,Accounting fundamentals,0.0027257350191091556,9.51852047663526e-05
saleq_growth_yoy,saleq_growth_yoy,Accounting fundamentals,0.002504749342386453,8.74681791780927e-05
actq,actq,Accounting fundamentals,0.0025000078030676938,8.730260021029146e-05
oancfy,oancfy,Accounting fundamentals,0.002383199571151524,8.322354799304034e-05
asset_turnover_industry_rank,asset_turnover_industry_rank,Relative position,0.002211471440980158,7.722664179346169e-05
saleq_growth_qoq,saleq_growth_qoq,Accounting fundamentals,0.002168681673695749,7.573238327885295e-05
sic2_45,sic2_45,Context/categorical,0.0021073501734836133,7.359063018642371e-05
profit_margin_change_yoy,profit_margin_change_yoy,Accounting fundamentals,0.002106238534429402,7.355181071561691e-05
asset_growth_qoq,asset_growth_qoq,Accounting fundamentals,0.0019679925258079224,6.872413137536057e-05
cibegniq,cibegniq,Accounting fundamentals,0.0019071445424437277,6.659926314145813e-05
atq_growth_qoq,atq_growth_qoq,Accounting fundamentals,0.0016436568897841535,5.7398028980404565e-05
roe_proxy,roe_proxy,Accounting fundamentals,0.001629278905502429,5.689593638211868e-05
roe,roe,Accounting fundamentals,0.001629278905502429,5.689593638211868e-05
volatility_change,volatility_change,Market behavior,0.0015925202085462235,5.561228845882779e-05
profit_margin_month_rank,profit_margin_month_rank,Relative position,0.0011429173099784973,3.991173662099675e-05
ltq_growth_qoq,ltq_growth_qoq,Accounting fundamentals,0.0009685748191056471,3.38235345115225e-05
accounting_missing_count,accounting_missing_count,Accounting fundamentals,0.0001988607696443802,6.944403232850268e-06
scfq,scfq,Accounting fundamentals,0.0,0.0
market_missing_count,market_missing_count,Accounting fundamentals,0.0,0.0
