split,rows,firms,start_date,end_date,target_excess_mean,target_excess_median,outperformance_rate,sp500_excess_mean,sp500_outperformance_rate
test,36803,10036,2024-11-30,2025-09-30,0.011612731232404984,-0.0047372530488398,0.48895470477950165,-0.0016922679080213368,0.41167839578295246
train,127960,10328,2020-01-31,2023-12-31,0.0016729808679831297,-0.003676933816665,0.4871131603626133,-0.011300526217926208,0.4054157549234136
validation,26750,9183,2024-01-31,2024-10-31,0.005496283973809785,-0.003966521117675649,0.4823551401869159,-0.017197344479689472,0.3603738317757009
